Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
2021-08-14,22:00 (16:00),La Liga,Matchweek 1,Sat,Away,W,4,1,Alavés,30,23,0,1,1,2,3,7,6,0,0,1,0,0,Match Report
2021-08-22,22:00 (16:00),La Liga,Matchweek 2,Sun,Away,D,3,3,Levante,30,23,1,0,4,2,0,6,6,0,0,0,0,0,Match Report
2021-08-28,22:00 (16:00),La Liga,Matchweek 3,Sat,Away,W,1,0,Betis,18,13,1,3,0,1,0,2,2,0,0,0,0,0,Match Report
2021-09-12,21:00 (15:00),La Liga,Matchweek 4,Sun,Home,W,5,2,Celta Vigo,25,16,1,4,1,2,1,9,7,0,0,1,1,0,Match Report
2021-09-15,21:00 (15:00),Champions Lg,Group stage,Wed,Away,W,1,0,it Inter,22,19,1,2,0,0,0,2,2,0,0,0,0,0,Match Report
2021-09-19,21:00 (15:00),La Liga,Matchweek 5,Sun,Away,W,2,1,Valencia,29,25,0,3,1,0,0,4,4,0,0,0,0,0,Match Report
2021-09-22,22:00 (16:00),La Liga,Matchweek 6,Wed,Home,W,6,1,Mallorca,32,29,1,2,0,0,0,10,10,0,0,0,0,0,Match Report
2021-09-25,21:00 (15:00),La Liga,Matchweek 7,Sat,Home,D,0,0,Villarreal,26,19,3,0,2,1,1,0,0,0,0,0,0,0,Match Report
2021-09-28,21:00 (15:00),Champions Lg,Group stage,Tue,Home,L,1,2,md Sheriff Tiraspol,57,47,1,4,2,3,0,2,1,0,0,0,1,0,Match Report
2021-10-03,16:15 (10:15),La Liga,Matchweek 8,Sun,Away,L,1,2,Espanyol,33,21,4,3,1,3,1,2,0,0,2,0,0,0,Match Report
2021-10-19,22:00 (15:00),Champions Lg,Group stage,Tue,Away,W,5,0,ua Shakhtar,36,31,1,4,0,0,0,8,6,0,2,0,0,0,Match Report
2021-10-24,16:15 (10:15),La Liga,Matchweek 10,Sun,Away,W,2,1,Barcelona,18,16,1,0,1,0,0,3,2,0,0,1,0,0,Match Report
2021-10-27,21:30 (15:30),La Liga,Matchweek 11,Wed,Home,D,0,0,Osasuna,31,27,0,2,1,1,0,0,0,0,0,0,0,0,Match Report
2021-10-30,14:00 (08:00),La Liga,Matchweek 12,Sat,Away,W,2,1,Elche,28,17,1,5,3,0,2,4,3,0,1,0,0,0,Match Report
2021-11-03,18:45 (13:45),Champions Lg,Group stage,Wed,Home,W,2,1,ua Shakhtar,22,15,1,5,0,1,0,3,3,0,0,0,0,0,Match Report
2021-11-06,21:00 (16:00),La Liga,Matchweek 13,Sat,Home,W,2,1,Rayo Vallecano,28,21,1,4,1,0,1,4,3,0,1,0,0,0,Match Report
2021-11-21,16:15 (10:15),La Liga,Matchweek 14,Sun,Away,W,4,1,Granada,36,27,2,2,2,2,1,8,7,0,0,0,0,1,Match Report
2021-11-24,22:00 (15:00),Champions Lg,Group stage,Wed,Away,W,3,0,md Sheriff Tiraspol,29,27,0,0,0,2,0,5,4,0,0,0,1,0,Match Report
2021-11-28,21:00 (15:00),La Liga,Matchweek 15,Sun,Home,W,2,1,Sevilla,18,15,1,0,1,1,0,3,2,0,0,1,0,0,Match Report
2021-12-01,21:00 (15:00),La Liga,Matchweek 9,Wed,Home,W,1,0,Athletic Club,26,24,0,0,2,0,0,1,0,0,0,1,0,0,Match Report
2021-12-04,21:00 (15:00),La Liga,Matchweek 16,Sat,Away,W,2,0,Real Sociedad,24,16,3,1,2,1,1,3,2,0,0,1,0,0,Match Report
2021-12-07,21:00 (15:00),Champions Lg,Group stage,Tue,Home,W,2,0,it Inter,30,25,2,2,1,0,0,4,4,0,0,0,0,0,Match Report
2021-12-12,21:00 (15:00),La Liga,Matchweek 17,Sun,Home,W,2,0,Atlético Madrid,12,11,1,0,0,0,0,4,4,0,0,0,0,0,Match Report
2021-12-19,21:00 (15:00),La Liga,Matchweek 18,Sun,Home,D,0,0,Cádiz,63,43,7,5,6,2,0,0,0,0,0,0,0,0,Match Report
2021-12-22,21:30 (15:30),La Liga,Matchweek 21,Wed,Away,W,2,1,Athletic Club,21,21,0,0,0,0,0,2,2,0,0,0,0,0,Match Report
2022-01-02,14:00 (08:00),La Liga,Matchweek 19,Sun,Away,L,0,1,Getafe,23,18,2,1,0,2,0,0,0,0,0,0,0,0,Match Report
2022-01-05,21:30 (15:30),Copa del Rey,Round of 32,Wed,Away,W,3,1,Alcoyano,,,,,,,,,,,,,,,Match Report
2022-01-08,21:00 (15:00),La Liga,Matchweek 20,Sat,Home,W,4,1,Valencia,42,31,1,3,1,3,3,6,2,0,1,1,1,1,Match Report
2022-01-12,22:00 (14:00),Supercopa de España,Semi-finals,Wed,Away,W,3,2,Barcelona,,,,,,,,,,,,,,,Match Report
2022-01-16,21:30 (13:30),Supercopa de España,Final,Sun,Away,W,2,0,Athletic Club,,,,,,,,,,,,,,,Match Report
2022-01-20,19:00 (13:00),Copa del Rey,Round of 16,Thu,Away,W,2,1,Elche,,,,,,,,,,,,,,,Match Report
2022-01-23,16:15 (10:15),La Liga,Matchweek 22,Sun,Home,D,2,2,Elche,42,35,3,2,0,2,0,3,2,1,0,0,0,0,Match Report
2022-02-03,21:30 (15:30),Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,,,,,,,,,,,,,,Match Report
2022-02-06,21:00 (15:00),La Liga,Matchweek 23,Sun,Home,W,1,0,Granada,32,25,0,3,1,1,2,1,0,0,0,0,0,1,Match Report
2022-02-12,16:15 (10:15),La Liga,Matchweek 24,Sat,Away,D,0,0,Villarreal,32,23,3,0,1,3,2,0,0,0,0,0,0,0,Match Report
2022-02-15,21:00 (15:00),Champions Lg,Round of 16,Tue,Away,L,0,1,fr Paris S-G,3,2,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
2022-02-19,21:00 (15:00),La Liga,Matchweek 25,Sat,Home,W,3,0,Alavés,39,30,2,2,1,4,0,6,5,0,0,0,1,0,Match Report
2022-02-26,18:30 (12:30),La Liga,Matchweek 26,Sat,Away,W,1,0,Rayo Vallecano,23,20,2,1,0,0,0,2,2,0,0,0,0,0,Match Report
2022-03-05,21:00 (15:00),La Liga,Matchweek 27,Sat,Home,W,4,1,Real Sociedad,26,19,2,0,0,4,1,8,7,0,0,0,1,0,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,29,22,2,1,1,1,2,3,3,0,0,0,0,0,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,19,15,1,2,0,1,0,5,2,1,1,0,1,0,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,23,19,1,2,0,0,1,0,0,0,0,0,0,0,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,22,14,1,2,0,4,1,4,1,0,0,0,2,1,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,11,10,1,0,0,0,0,4,4,0,0,0,0,0,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,42,27,8,3,2,2,0,4,4,0,0,0,0,0,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,18,15,0,0,0,2,1,4,4,0,0,0,0,0,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,22,18,1,2,1,0,0,6,4,0,2,0,0,0,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,44,35,2,3,3,1,0,4,1,0,1,2,0,0,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,19,15,1,2,1,0,0,3,2,0,1,0,0,0,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,20,17,0,1,0,0,2,6,5,0,0,0,0,1,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,22,18,1,0,1,2,0,5,3,0,0,1,1,0,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,25,22,1,2,0,0,0,0,0,0,0,0,0,0,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,49,43,2,2,1,1,0,11,10,0,1,0,0,0,Match Report
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,28,20,1,3,2,1,1,1,0,0,0,1,0,0,Match Report
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,34,25,3,2,2,2,0,0,0,0,0,0,0,0,Match Report
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,5,4,0,0,1,0,0,1,0,0,0,1,0,0,Match Report
,,,,,,39-8-9,119,50,,1418,1113,76,91,51,60,27,183,141,2,13,12,10,5,
