Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,53.0,1,0,0,2,2,0,0,0,0,0,1,0,188,0,0,,Matches
Éder Militão\2784f898,br BRA,DF,23,49.9,9,1,0,65,61,1,13,110,59,1,0,0,386,127,41,75.6,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,47.3,7,0,0,63,125,33,87,22,53,5,0,0,197,4,27,12.9,Matches
David Alaba\05439de2,at AUT,DF,29,45.2,4,0,0,26,18,3,46,55,29,0,0,0,251,32,35,47.8,Matches
Casemiro\4d224fe8,br BRA,MF,29,43.5,16,0,0,90,68,4,13,93,91,1,0,0,436,129,61,67.9,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,43.4,1,0,0,17,17,40,38,12,11,1,0,0,142,28,51,35.4,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,38.0,6,0,0,34,53,1,42,51,24,0,0,0,239,18,23,43.9,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,37.6,6,0,0,35,67,0,54,25,52,0,0,0,199,14,17,45.2,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,31.8,5,0,0,28,22,9,41,57,35,0,0,0,223,26,25,51.0,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,31.2,7,0,0,21,36,3,42,45,27,1,1,0,199,14,26,35.0,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,28.8,4,0,0,41,17,1,65,61,38,0,2,0,211,27,24,52.9,Matches
Nacho\2946f9a1,es ESP,DF,31,28.3,9,0,0,27,27,0,11,53,19,0,0,0,170,36,30,54.5,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,27.9,4,0,0,40,50,5,75,34,42,0,0,0,186,5,11,31.3,Matches
Rodrygo\8f5e92a6,br BRA,FW,20,26.1,6,0,0,34,50,15,46,36,21,3,0,0,99,15,46,24.6,Matches
Marco Asensio\45af8a54,es ESP,FWMF,25,23.8,2,0,0,17,28,3,51,28,11,0,0,0,114,3,13,18.8,Matches
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,18.6,10,0,0,55,51,2,5,23,45,0,0,0,142,34,15,69.4,Matches
Eden Hazard\a39bb753,be BEL,FWMF,30,10.1,3,0,0,10,45,4,16,8,7,0,0,0,34,4,5,44.4,Matches
Marcelo\603116a7,br BRA,DF,33,8.2,0,1,0,7,13,0,29,10,8,0,0,0,44,3,8,27.3,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,6.2,2,0,0,5,8,4,1,2,2,0,0,0,24,13,10,56.5,Matches
Mariano\5c4dc0ff,do DOM,FW,27,4.5,2,0,0,3,0,6,2,1,2,0,0,0,6,13,4,76.5,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4.3,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,,Matches
Jesús Vallejo\c2111b45,es ESP,DF,24,3.9,1,0,0,4,1,0,0,6,7,0,1,0,30,12,1,92.3,Matches
Isco\a0b4bb3e,es ESP,MFFW,29,3.9,1,0,0,10,15,1,6,2,7,0,0,0,26,3,6,33.3,Matches
Dani Ceballos\c0617e2b,es ESP,MF,24,3.9,1,0,0,7,11,0,1,8,8,0,0,0,34,1,4,20.0,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,3.6,1,0,0,4,9,0,10,5,4,0,0,0,24,2,5,28.6,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,3.2,2,0,0,3,1,1,2,5,1,0,0,0,10,8,5,61.5,Matches
Blanco\506daeac,es ESP,MF,21,0.4,0,0,0,2,1,0,0,2,0,0,0,0,4,0,0,,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,0.3,0,0,0,0,2,0,1,1,1,0,0,0,3,0,1,0.0,Matches
Mario Gila\9c435456,es ESP,DF,20,0.3,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
Latasa\2bea832e,es ESP,FW,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
