Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,53.0,1642,1296,346,68,0,147,37,0,0,0,0,0,1097,57,488,906,461,1,0,253,1314,4,43,18,0,Matches
Éder Militão\2784f898,br BRA,DF,23,49.9,2651,2501,150,67,4,275,95,13,0,0,0,0,2089,191,371,201,2251,101,24,13,2344,10,50,36,30,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,47.3,1749,1719,30,3,4,240,46,87,7,0,0,0,1484,128,137,234,1476,10,18,10,1464,6,14,65,77,Matches
David Alaba\05439de2,at AUT,DF,29,45.2,2637,2530,107,56,2,219,25,46,5,4,1,0,2257,156,224,2193,329,53,38,5,2405,5,20,28,27,Matches
Casemiro\4d224fe8,br BRA,MF,29,43.5,2541,2478,63,58,7,386,121,13,0,0,0,0,1830,281,430,285,2050,104,2,16,2200,7,24,51,39,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,43.4,1779,1707,72,4,7,290,27,38,9,0,0,0,1481,191,107,289,1437,24,3,17,1493,14,28,81,48,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,38.0,2533,2372,161,94,9,364,113,42,40,11,11,2,1954,262,317,263,2180,38,12,24,2242,9,20,69,56,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,37.6,3084,2813,271,142,3,291,224,54,115,49,32,7,2329,247,508,449,2572,32,14,4,2826,14,22,38,23,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,31.8,1596,1570,26,9,4,170,46,41,2,0,0,0,1292,150,154,114,1401,41,15,7,1376,5,15,41,38,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,31.2,1836,1626,210,17,1,236,25,42,0,0,0,0,1430,288,118,1230,375,18,193,8,1676,3,14,30,36,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,28.8,1872,1623,249,30,2,220,38,65,0,0,0,0,1281,347,244,99,1464,70,218,8,1617,3,23,52,35,Matches
Nacho\2946f9a1,es ESP,DF,31,28.3,1352,1259,93,24,0,105,20,11,0,0,0,0,1106,128,118,271,971,33,59,4,1250,4,15,10,15,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,27.9,1812,1649,163,28,0,149,63,75,5,0,4,0,1312,240,260,174,1470,27,130,8,1556,4,13,54,36,Matches
Rodrygo\8f5e92a6,br BRA,FW,20,26.1,891,846,45,4,1,143,11,46,27,5,8,1,726,87,78,66,777,15,11,10,742,5,10,25,32,Matches
Marco Asensio\45af8a54,es ESP,FWMF,25,23.8,996,907,89,17,3,152,43,51,50,25,4,3,763,103,130,865,92,15,15,6,814,5,8,36,33,Matches
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,18.6,1022,998,24,17,3,143,36,5,0,0,0,0,821,84,117,890,67,29,6,4,917,2,8,15,15,Matches
Eden Hazard\a39bb753,be BEL,FWMF,30,10.1,469,453,16,4,2,96,8,16,5,0,0,1,389,50,30,89,349,12,6,11,416,3,2,8,9,Matches
Marcelo\603116a7,br BRA,DF,33,8.2,536,487,49,4,0,54,21,29,1,0,0,0,381,81,74,405,79,4,44,2,443,1,13,17,16,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,6.2,110,106,4,1,0,32,2,1,0,0,0,0,75,21,14,28,64,7,0,2,90,0,2,1,3,Matches
Mariano\5c4dc0ff,do DOM,FW,27,4.5,61,54,7,0,2,16,4,2,0,0,0,0,38,8,15,9,45,0,0,2,45,0,1,3,2,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4.3,82,52,30,5,0,10,3,0,0,0,0,0,65,2,15,8,60,0,0,13,72,0,2,3,0,Matches
Jesús Vallejo\c2111b45,es ESP,DF,24,3.9,220,206,14,1,0,35,7,0,0,0,0,0,174,18,28,28,171,5,9,0,189,0,1,3,3,Matches
Isco\a0b4bb3e,es ESP,MFFW,29,3.9,269,253,16,8,2,46,10,6,7,1,4,0,219,19,31,21,245,2,0,0,238,2,2,7,5,Matches
Dani Ceballos\c0617e2b,es ESP,MF,24,3.9,279,274,5,3,0,34,8,1,0,0,0,0,239,22,18,10,263,2,1,2,250,0,3,6,8,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,3.6,245,206,39,5,1,22,8,10,0,0,0,0,171,41,33,171,33,7,34,0,216,0,4,7,6,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,3.2,67,66,1,0,0,17,1,2,0,0,0,0,41,11,15,53,6,2,0,1,50,3,1,4,1,Matches
Blanco\506daeac,es ESP,MF,21,0.4,33,33,0,0,0,0,0,0,0,0,0,0,32,0,1,3,30,0,0,0,32,0,0,1,0,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,0.3,19,16,3,0,0,5,0,1,0,0,0,0,12,3,4,13,2,1,3,0,16,0,0,0,0,Matches
Mario Gila\9c435456,es ESP,DF,20,0.3,22,21,1,0,0,6,0,0,0,0,0,0,20,0,2,4,18,0,0,0,20,0,0,1,0,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,0.1,7,6,1,0,0,0,0,1,0,0,0,0,5,1,1,0,6,0,1,0,7,0,0,0,0,Matches
Latasa\2bea832e,es ESP,FW,20,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,1,0,0,4,0,0,0,1,Matches
