Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,53.0,1314,1642,80.0,33873,18222,249,249,100.0,709,712,99.6,349,674,51.8,0,0.0,0.0,0,9,0,0,1,Matches
Éder Militão\2784f898,br BRA,DF,23,49.9,2344,2651,88.4,49805,14013,729,772,94.4,1155,1235,93.5,414,568,72.9,2,1.2,+0.8,12,166,8,1,86,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,47.3,1464,1749,83.7,21791,4812,902,1006,89.7,440,507,86.8,83,122,68.0,16,11.2,+4.8,99,43,91,10,148,Matches
David Alaba\05439de2,at AUT,DF,29,45.2,2405,2637,91.2,44815,14142,972,1009,96.3,1130,1197,94.4,266,372,71.5,4,2.8,+0.2,27,169,20,6,124,Matches
Casemiro\4d224fe8,br BRA,MF,29,43.5,2200,2541,86.6,44329,11919,872,968,90.1,881,998,88.3,397,487,81.5,3,2.9,+0.1,31,216,28,2,179,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,43.4,1493,1779,83.9,22116,4961,879,1001,87.8,433,509,85.1,110,140,78.6,14,12.2,+0.8,80,107,112,5,193,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,38.0,2242,2533,88.5,41798,11824,1029,1097,93.8,813,889,91.5,339,427,79.4,12,6.0,+6.0,52,245,52,4,229,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,37.6,2826,3084,91.6,59312,16396,1113,1145,97.2,1076,1127,95.5,587,741,79.2,3,4.2,-1.2,64,363,51,6,258,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,31.8,1376,1596,86.2,22406,5181,742,814,91.2,468,521,89.8,123,181,68.0,2,3.0,-1.0,30,127,32,5,98,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,31.2,1676,1836,91.3,25939,7521,956,1005,95.1,542,586,92.5,130,160,81.3,4,2.0,+2.0,26,93,21,8,84,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,28.8,1617,1872,86.4,29350,8046,724,786,92.1,648,737,87.9,213,278,76.6,4,3.6,+0.4,38,63,44,14,98,Matches
Nacho\2946f9a1,es ESP,DF,31,28.3,1250,1352,92.5,23555,6923,484,510,94.9,581,615,94.5,157,185,84.9,0,0.6,-0.6,11,70,6,2,61,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,27.9,1556,1812,85.9,26987,7675,767,825,93.0,609,690,88.3,154,243,63.4,0,3.5,-3.5,42,72,45,12,111,Matches
Rodrygo\8f5e92a6,br BRA,FW,20,26.1,742,891,83.3,9591,2352,496,532,93.2,184,224,82.1,25,66,37.9,8,2.8,+3.2,34,37,30,7,51,Matches
Marco Asensio\45af8a54,es ESP,FWMF,25,23.8,814,996,81.7,13907,2609,428,477,89.7,267,303,88.1,94,162,58.0,2,2.6,-0.6,31,56,23,3,58,Matches
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,18.6,917,1022,89.7,18133,4042,365,397,91.9,392,424,92.5,150,173,86.7,2,1.5,+0.5,15,89,8,2,77,Matches
Eden Hazard\a39bb753,be BEL,FWMF,30,10.1,416,469,88.7,6063,1079,253,278,91.0,129,143,90.2,21,25,84.0,1,2.7,-1.7,32,20,15,0,27,Matches
Marcelo\603116a7,br BRA,DF,33,8.2,443,536,82.6,7430,1960,244,264,92.4,160,182,87.9,36,74,48.6,2,0.6,+1.4,9,29,14,5,39,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,6.2,90,110,81.8,1412,204,49,58,84.5,29,35,82.9,6,6,100.0,3,0.9,+2.1,7,7,2,0,8,Matches
Mariano\5c4dc0ff,do DOM,FW,27,4.5,45,61,73.8,706,149,25,30,83.3,14,18,77.8,4,8,50.0,1,0.6,+0.4,5,2,4,0,5,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,4.3,72,82,87.8,1683,769,18,18,100.0,38,40,95.0,16,24,66.7,0,0.0,0.0,0,0,0,0,0,Matches
Jesús Vallejo\c2111b45,es ESP,DF,24,3.9,189,220,85.9,3773,1108,66,70,94.3,89,95,93.7,31,48,64.6,0,0.0,0.0,1,2,0,0,1,Matches
Isco\a0b4bb3e,es ESP,MFFW,29,3.9,238,269,88.5,4287,1138,107,117,91.5,89,95,93.7,32,43,74.4,0,1.0,-1.0,9,25,6,0,24,Matches
Dani Ceballos\c0617e2b,es ESP,MF,24,3.9,250,279,89.6,4494,1126,116,127,91.3,101,107,94.4,29,35,82.9,1,0.1,-0.1,3,17,5,1,13,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,3.6,216,245,88.2,4153,1190,93,103,90.3,79,85,92.9,38,47,80.9,1,0.6,+0.4,4,17,4,3,19,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,3.2,50,67,74.6,813,208,25,31,80.6,21,25,84.0,3,8,37.5,0,0.0,0.0,1,4,3,0,9,Matches
Blanco\506daeac,es ESP,MF,21,0.4,32,33,97.0,519,96,15,15,100.0,15,16,93.8,2,2,100.0,0,0.0,0.0,0,7,0,0,2,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,0.3,16,19,84.2,249,31,9,9,100.0,2,2,100.0,3,6,50.0,0,0.3,-0.3,2,0,0,0,1,Matches
Mario Gila\9c435456,es ESP,DF,20,0.3,20,22,90.9,376,142,7,7,100.0,10,11,90.9,3,4,75.0,0,0.0,0.0,0,1,0,0,2,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,0.1,7,7,100.0,133,37,4,4,100.0,1,1,100.0,2,2,100.0,0,0.0,0.0,1,0,1,1,0,Matches
Latasa\2bea832e,es ESP,FW,20,0.1,4,5,80.0,37,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
