,,,,La Liga,La Liga,La Liga,La Liga,Champions League,Champions League,Champions League,Champions League,Copa del Rey,Copa del Rey,Copa del Rey,Copa del Rey,Supercopa de España,Supercopa de España,Supercopa de España,Supercopa de España,Combined,Combined,Combined,Combined,
Player,Nation,Pos,Age,MP,Min,Gls,Ast,MP,Min,Gls,Ast,MP,Min,Gls,Ast,MP,Min,Gls,Ast,MP,Min,Gls,Ast,Matches
Thibaut Courtois\1840e36d,be BEL,GK,29,36,3240,0,0,13,1230,0,0,1,90,0,0,2,210,0,0,52,4770,0,0,Matches
Éder Militão\2784f898,br BRA,DF,23,34,3031,1,2,12,1074,0,0,2,180,1,0,2,206,0,0,50,4491,2,2,Matches
Vinicius Júnior\7111d552,br BRA,FW,21,35,2690,17,10,13,1193,4,6,2,176,0,0,2,194,1,0,52,4253,22,16,Matches
David Alaba\05439de2,at AUT,DF,29,30,2642,2,3,12,1039,1,0,3,295,0,1,1,90,0,0,46,4066,3,4,Matches
Casemiro\4d224fe8,br BRA,MF,29,32,2569,1,3,11,910,0,0,3,229,0,0,2,210,0,0,48,3918,1,3,Matches
Karim Benzema\70d74ece,fr FRA,FW,33,32,2593,27,12,12,1102,15,1,,,,,2,210,2,1,46,3905,44,14,Matches
Luka Modrić\6025fab1,hr CRO,MF,35,28,2032,2,8,13,1073,0,4,2,139,0,0,2,172,1,0,45,3416,3,12,Matches
Toni Kroos\6ce1f46f,de GER,MF,31,28,2103,1,3,12,897,2,0,3,178,0,0,2,210,0,0,45,3388,3,3,Matches
Federico Valverde\0959c2a2,uy URU,MF,23,31,1833,0,1,11,805,0,1,2,161,0,0,2,65,1,0,46,2864,1,2,Matches
Ferland Mendy\3cefcaef,fr FRA,DF,26,22,1734,2,1,10,864,0,3,1,3,0,0,2,210,0,0,35,2811,2,4,Matches
Dani Carvajal\4958bfb2,es ESP,DF,29,24,1551,1,3,11,955,0,1,,,,,1,90,0,0,36,2596,1,4,Matches
Nacho\2946f9a1,es ESP,DF,31,28,1555,3,0,9,575,0,0,3,300,0,0,2,121,0,0,42,2551,3,0,Matches
Lucas Vázquez\fd51b456,es ESP,DF,30,29,1833,3,0,8,353,0,0,2,210,0,0,2,119,0,0,41,2515,3,0,Matches
Rodrygo\8f5e92a6,br BRA,FW,20,32,1459,4,4,11,507,5,2,3,265,0,0,2,116,0,2,48,2347,9,8,Matches
Marco Asensio\45af8a54,es ESP,FWMF,25,31,1731,10,0,8,209,1,2,2,133,1,0,1,67,0,0,42,2140,12,2,Matches
Eduardo Camavinga\7b9c2d84,fr FRA,MF,18,25,1191,2,1,10,305,0,1,3,163,0,0,1,11,0,0,39,1670,2,2,Matches
Eden Hazard\a39bb753,be BEL,FWMF,30,18,717,0,1,3,85,0,0,2,107,1,0,,,,,23,909,1,1,Matches
Marcelo\603116a7,br BRA,DF,33,11,442,0,2,3,96,0,0,2,191,0,0,1,5,0,0,17,734,0,2,Matches
Luka Jović\4d8cd038,rs SRB,FW,23,15,369,1,3,3,114,0,0,1,78,0,0,,,,,19,561,1,3,Matches
Mariano\5c4dc0ff,do DOM,FW,27,9,342,1,1,1,13,0,0,1,47,0,0,,,,,11,402,1,1,Matches
Andriy Lunin\3061e1ec,ua UKR,GK,22,2,180,0,0,,,,,2,210,0,0,,,,,4,390,0,0,Matches
Jesús Vallejo\c2111b45,es ESP,DF,24,5,341,0,0,2,9,0,0,1,5,0,0,,,,,8,355,0,0,Matches
Isco\a0b4bb3e,es ESP,MFFW,29,13,267,1,0,,,,,3,86,1,0,,,,,16,353,2,0,Matches
Dani Ceballos\c0617e2b,es ESP,MF,24,11,276,0,0,5,41,0,0,2,35,0,1,,,,,18,352,0,1,Matches
Miguel Gutiérrez\7e98cff1,es ESP,DF,20,3,260,0,1,1,65,0,0,,,,,,,,,4,325,0,1,Matches
Gareth Bale\a58bb1e1,wls WAL,FW,32,5,280,1,0,2,9,0,0,,,,,,,,,7,289,1,0,Matches
Blanco\506daeac,es ESP,MF,21,1,31,0,0,1,7,0,0,,,,,,,,,2,38,0,0,Matches
Peter González\1ccd3dae,do DOM,MFDF,19,3,27,0,0,,,,,,,,,,,,,3,27,0,0,Matches
Mario Gila\9c435456,es ESP,DF,20,2,25,0,0,,,,,,,,,,,,,2,25,0,0,Matches
Sergio Santos\cf59e05f,es ESP,DF,20,1,11,0,0,,,,,,,,,,,,,1,11,0,0,Matches
Latasa\2bea832e,es ESP,FW,20,1,9,0,0,,,,,,,,,,,,,1,9,0,0,Matches
Luis López\ccb491d0,es ESP,GK,20,,,,,,,,,,,,,,,,,,,,,Matches
Rafa\3239a8ed,es ESP,DF,19,,,,,,,,,,,,,,,,,,,,,Matches
Toni Fuidias\33d2c795,es ESP,GK,20,,,,,,,,,,,,,,,,,,,,,Matches
Diego Piñeiro\ef6a4afe,es ESP,GK,17,,,,,,,,,,,,,,,,,,,,,Matches
Álvaro Odriozola\1d1691ad,es ESP,DF,25,,,,,,,,,,,,,,,,,,,,,Matches
